,x,y,z,Time,Lebal
0,-0.047599736,0.00466987,9.852109377,0.0,0
1,-0.066993114,0.060983521,9.634208156,0.009369754000000001,0
2,-0.20013096100000002,0.170453806,9.512365635,0.019594078,0
3,-0.185314738,-0.039817733,9.67157608,0.039249198,0
4,-0.011558694,0.049461381,9.844943203,0.058812757,0
5,0.07881664,-0.13772969,9.919882317999999,0.078895162,0
6,-0.10679171900000001,-0.129956136,9.775102947,0.098519761,0
7,-0.22604186199999998,-0.129610033,9.51082815,0.11814436,0
8,-0.185721865,-0.010920448999999999,9.495246403,0.137738439,0
9,-0.049625507,0.132497276,9.645240861,0.15739356,0
10,0.115264196,0.14357346099999999,9.769898892999999,0.17698763899999997,0
11,0.1901445,0.11143788,9.653589074,0.19676484,0
12,0.125287037,0.030669205,9.646671712,0.216328398,0
13,-0.017187957,0.158185661,9.50513774,0.235952997,0
14,-0.14464214,0.086096811,9.753347227,0.255577598,0
15,0.037684896,0.289127459,9.719577036,0.275232718,0
16,0.002670202,0.053480123,9.82646448,0.294857317,0
17,0.047785894,-0.022563509,9.63905678,0.314512437,0
18,-0.00095,-0.13142147,9.673735748,0.334137036,0
19,-0.058628444,0.125681476,9.647564014,0.353792155,0
20,-0.081045441,0.141629256,9.763208715,0.373447275,0
21,-0.05825402,0.051122460999999994,9.792010027,0.39310239399999997,0
22,-0.072608009,-0.061528095,9.670651658999999,0.412726996,0
23,0.004419459000000001,-0.005086514,9.659217605,0.432351595,0
24,-0.046095182,0.05757000599999999,9.635266153,0.452006714,0
25,-0.025382942999999998,0.183866654,9.735187502999999,0.471631313,0
26,0.038844949,0.266304621,9.625616965,0.49128643299999997,0
27,-0.039876596,0.045129410999999994,9.714250567999999,0.510941552,0
28,-0.038245401,0.07297357900000001,9.594827766,0.530535631,0
29,-0.076958817,-0.123073041,9.717185154,0.55016023,0
30,-0.094122483,0.037739137,9.679820458,0.569815351,0
31,-0.34900816700000004,-0.299857902,9.831237392,0.58943995,0
32,-0.241153793,-0.143239035,9.633046281,0.609034029,0
